"","id","host_id","host_name","street","city","latitude","longitude","room_type","accommodates","bathrooms","bedrooms","number_of_reviews","review_scores_rating","price"
"1","13137660","33344724","Luis","Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro","-23.00324","-43.33846","Private room","1","1.5","1","2","100",200
"2","13138674","66655804","Janaina","Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro","-22.91768","-43.24139","Entire home/apt","2","1.0","1","45","95",100
"3","13139311","4005407","Erika","Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro","-22.96304","-43.17533","Entire home/apt","8","3.0","3","4","90",1468
"4","13140029","34956173","Natália","Copacabana, Rio de Janeiro, Brazil","Copacabana","-22.97014","-43.1876","Entire home/apt","4","1.0","1","9","98",141
"5","13140416","73239287","André","Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro","-22.96827","-43.22539","Entire home/apt","2","1.0","1","6","97",200
"6","13140751","11307689","Danielle","Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro","-22.98098","-43.18982","Entire home/apt","4","1.0","2","2","90",699
"7","13140760","73244612","Eduardo","Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro","-22.98122","-43.22338","Entire home/apt","3","1.0","1","2","90",416
"8","13141007","72296387","Wilson","Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro","-22.97358","-43.40844","Entire home/apt","4","1.0","2","2","90",412
"9","13141592","73258648","Maria Suzana","Ipanema, Rio de Janeiro, Brazil","Ipanema","-22.98452","-43.20363","Private room","2","1.0","1","10","98",158
"10","13141935","73264409","Marcos Vinicius","Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro","-23.00983","-43.44013","Private room","3","1.0","1","6","100",87
"11","13144821","51047791","Taciana","Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro","-23.01129","-43.3123","Entire home/apt","5","3.0","2","1","80",699
"12","13146706","891124","Lucia","Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro","-22.97383","-43.18752","Entire home/apt","4","1.0","1","8","97",503
"13","13147175","59712477","Patricia","Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro","-22.98221","-43.18908","Entire home/apt","4","1.0","2","4","100",599
"14","13147886","73331153","Oseas","Rio de Janeiro, Rio de Janeiro, Brazil","Rio de Janeiro","-22.91173","-43.21015","Entire home/apt","6","2.0","3","3","100",50
